<RTE>
MODEL=facebook/opt-125m, TASK=SST2, MODE=adapter-1e-5-28, LR=1e-05, SEED=28, ACC= 0.9059633027522935
MODEL=facebook/opt-125m, TASK=SST2, MODE=adapter-1e-4-28, LR=0.0001, SEED=28, ACC= 0.9036697247706422
MODEL=facebook/opt-125m, TASK=SST2, MODE=adapter-1e-5-210, LR=1e-05, SEED=210, ACC= 0.9036697247706422
MODEL=facebook/opt-125m, TASK=SST2, MODE=adapter-1e-4-210, LR=0.0001, SEED=210, ACC= 0.9128440366972477
MODEL=facebook/opt-125m, TASK=SST2, MODE=adapter-1e-5-8274, LR=1e-05, SEED=8274, ACC= 0.8876146788990825
MODEL=facebook/opt-125m, TASK=SST2, MODE=adapter-1e-4-8274, LR=0.0001, SEED=8274, ACC= 0.9013761467889908
MODEL=facebook/opt-125m, TASK=SST2, MODE=adapter-1e-5-10283, LR=1e-05, SEED=10283, ACC= 0.9094036697247706
MODEL=facebook/opt-125m, TASK=SST2, MODE=adapter-1e-4-10283, LR=0.0001, SEED=10283, ACC= 0.9071100917431193
MODEL=facebook/opt-125m, TASK=SST2, MODE=random_masking_0.999-1e-3-28, LR=0.001, SEED=28, ACC= 0.9162844036697247
MODEL=facebook/opt-125m, TASK=SST2, MODE=random_masking_0.999-1e-2-28, LR=0.01, SEED=28, ACC= 0.8279816513761468
MODEL=facebook/opt-125m, TASK=SST2, MODE=random_masking_0.999-1e-3-210, LR=0.001, SEED=210, ACC= 0.9071100917431193
MODEL=facebook/opt-125m, TASK=SST2, MODE=random_masking_0.999-1e-2-210, LR=0.01, SEED=210, ACC= 0.8325688073394495
MODEL=facebook/opt-125m, TASK=SST2, MODE=random_masking_0.999-1e-3-8274, LR=0.001, SEED=8274, ACC= 0.9105504587155964
MODEL=facebook/opt-125m, TASK=SST2, MODE=random_masking_0.999-1e-2-8274, LR=0.01, SEED=8274, ACC= 0.823394495412844
MODEL=facebook/opt-125m, TASK=SST2, MODE=random_masking_0.999-1e-3-10283, LR=0.001, SEED=10283, ACC= 0.9105504587155964
MODEL=facebook/opt-125m, TASK=SST2, MODE=random_masking_0.999-1e-2-10283, LR=0.01, SEED=10283, ACC= 0.8428899082568807
MODEL=facebook/opt-125m, TASK=SST2, MODE=gradient_masking_0.999-1e-5-28, LR=1e-05, SEED=28, ACC= 0.9105504587155964
MODEL=facebook/opt-125m, TASK=SST2, MODE=gradient_masking_0.999-1e-4-28, LR=0.0001, SEED=28, ACC= 0.8623853211009175
MODEL=facebook/opt-125m, TASK=SST2, MODE=gradient_masking_0.999-1e-5-210, LR=1e-05, SEED=210, ACC= 0.911697247706422
MODEL=facebook/opt-125m, TASK=SST2, MODE=gradient_masking_0.999-1e-4-210, LR=0.0001, SEED=210, ACC= 0.8807339449541285
MODEL=facebook/opt-125m, TASK=SST2, MODE=gradient_masking_0.999-1e-5-8274, LR=1e-05, SEED=8274, ACC= 0.9220183486238532


<SST2 다시 - 이게 맞는거임>
MODEL=facebook/opt-125m, TASK=SST2, MODE=fft-1e-6-28, LR=1e-06, SEED=28, ACC= 0.9174311926605505
MODEL=facebook/opt-125m, TASK=SST2, MODE=fft-1e-6-210, LR=1e-06, SEED=210, ACC= 0.9151376146788991
MODEL=facebook/opt-125m, TASK=SST2, MODE=fft-1e-6-8274, LR=1e-06, SEED=8274, ACC= 0.9048165137614679
MODEL=facebook/opt-125m, TASK=SST2, MODE=fft-1e-6-10283, LR=1e-06, SEED=10283, ACC= 0.9128440366972477
MODEL=facebook/opt-125m, TASK=SST2, MODE=entropy_gradweight_masking_0.999-5e-5-28, LR=5e-05, SEED=28, ACC= 0.9013761467889908
MODEL=facebook/opt-125m, TASK=SST2, MODE=entropy_gradweight_masking_0.999-1e-5-28, LR=1e-05, SEED=28, ACC= 0.8967889908256881
MODEL=facebook/opt-125m, TASK=SST2, MODE=entropy_gradweight_masking_0.999-5e-4-28, LR=0.0005, SEED=28, ACC= 0.8876146788990825
